Основное средство;Гр. уч;Инвентарный номер;Серийный номерЦМО;Дата ввода в эксплуатацию;Дата принятия к учету;Количество
Дисплей покупателя АРМ оператора питания CheckWay ONYX Smart  на стойке, 15” LCD;Нет;41013400632;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);16.10.2018;16.10.2018;1
"ПК 01""Начальный уровень""";Нет;01-1041380556;00000000000;7. Пельтихина Е.С.(з.х. с 02.05.2023)(г. Москва, Новосущёвская улица, дом 7);10.01.2009;10.01.2009;1
Персональный компьютер управления АРМ контролера (охранника), АРМ Библиотекаря H;Нет;41013400633;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);16.10.2018;16.10.2018;1
Персональный компьютер АРМ администратора Kraftway Сгеdо КС51;Нет;41013400650;00000000000;11. Пельтихина Е.Н. (з.х. с 02.05.2023)(г. Москва, Октябрьский переулок, дом 11);16.10.2018;16.10.2018;1
Персональный компьютер АРМ администратора Kraftway Сгеdо КС51;Нет;41013400640;00000000000;9. Чурляев М.Н. (з.х. с 10.02.2020)(г. Москва, улица Советской Армии, дом 9);16.10.2018;16.10.2018;1
Моноблочный специализированный персональный компьютер оператора питания CheckWay;Нет;41013400651;00000000000;11. Пельтихина Е.Н. (з.х. с 02.05.2023)(г. Москва, Октябрьский переулок, дом 11);16.10.2018;16.10.2018;1
Моноблочный специализированный персональный компьютер оператора питания CheckWay;Нет;41013400652;00000000000;11. Пельтихина Е.Н. (з.х. с 02.05.2023)(г. Москва, Октябрьский переулок, дом 11);16.10.2018;16.10.2018;1
Персональный компьютер управления контролера (охранника) Hewlett-Packard ProOne;Нет;41013400655;00000000000;11. Пельтихина Е.Н. (з.х. с 02.05.2023)(г. Москва, Октябрьский переулок, дом 11);16.10.2018;16.10.2018;1
Персональный компьютер управления контролера (охранника) Hewlett-Packard ProOne;Нет;41013400656;00000000000;11. Пельтихина Е.Н. (з.х. с 02.05.2023)(г. Москва, Октябрьский переулок, дом 11);16.10.2018;16.10.2018;1
Персональный компьютер управления АРМ контролера (охранника) HР 400G2РОN АiO NT;Нет;41013400637;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);16.10.2018;16.10.2018;1
